s2_token,geometry,confidence_threshold_80%_precision,confidence_threshold_85%_precision,confidence_threshold_90%_precision,building_count_80%_precision,building_count_85%_precision,building_count_90%_precision,building_count
107,"POLYGON ((5.059868846264117 0, 10.61965527615513 0, 10.61965527615514 4.973642825000524, 5.059868846264116 5.040252729758283, 5.059868846264117 0))",0.708,0.749,0.801,1832424,1507773,962205,2518119
195,"POLYGON ((22.61986494804042 -21.03751102542181, 28.67314648943499 -20.08096213071963, 28.67314648943499 -14.59941342503042, 22.61986494804043 -15.32501998539171, 22.61986494804042 -21.03751102542181))",0.730,0.761,0.803,2574028,2078196,1310375,4024127
163,"POLYGON ((39.98123465891889 8.175896074358709, 45 7.552372279897661, 45 11.85551661629703, 39.98123465891889 12.81566331979315, 39.98123465891889 8.175896074358709))",0.697,0.727,0.762,3611202,3136408,2529771,4960946
23b,"POLYGON ((55.4914770123316 -13.74670252512002, 61.326853510565 -14.59941342503042, 61.326853510565 -9.341889685888818, 55.4914770123316 -8.783194988097531, 55.4914770123316 -13.74670252512002))",0.762,0.762,0.762,398,398,398,906
1c1,"POLYGON ((16.53483785734515 -27.66622518241585, 22.61986494804042 -26.7849955075022, 22.61986494804042 -21.03751102542181, 16.53483785734516 -21.77355606643973, 16.53483785734515 -27.66622518241585))",0.793,0.819,0.839,313458,210233,124034,760455
185,"POLYGON ((34.5085229876684 -8.783194988097531, 39.98123465891889 -8.175896074358709, 39.98123465891889 -3.881312186924027, 34.5085229876684 -4.173022773894666, 34.5085229876684 -8.783194988097531))",0.714,0.745,0.786,6985409,5940346,4247916,9765275
0db,"POLYGON ((-10.61965527615513 28.25839533868567, -5.059868846264117 28.57906855098932, -5.059868846264117 34.40415724063815, -10.61965527615513 34.04786296943432, -10.61965527615513 28.25839533868567))",0.654,0.699,0.699,7701,5430,5430,11278
179,"POLYGON ((34.5085229876684 0, 39.98123465891889 0, 39.98123465891889 3.881312186924027, 34.5085229876684 4.173022773894666, 34.5085229876684 0))",0.723,0.763,0.791,5419775,4296117,3249039,7449571
15b,"POLYGON ((34.5085229876684 24.25860976441469, 39.98123465891889 22.73590953009369, 39.98123465891889 27.78027316318915, 34.5085229876684 29.53280370582265, 34.5085229876684 24.25860976441469))",0.711,0.744,0.773,16927,11907,7950,36081
1a7,"POLYGON ((10.61965527615514 -4.973642825000524, 16.53483785734516 -4.851647556935838, 16.53483785734516 0, 10.61965527615513 0, 10.61965527615514 -4.973642825000524))",0.738,0.774,0.812,2183522,1676818,1042139,3547382
21d,"POLYGON ((45 -25.92605088194581, 50.01876534108111 -27.78027316318915, 50.01876534108111 -22.73590953009369, 45 -21.14143744584222, 45 -25.92605088194581))",0.691,0.714,0.741,1001253,872193,717646,1412969
13b,"POLYGON ((10.61965527615513 28.25839533868567, 16.53483785734515 27.66622518241585, 16.53483785734516 33.38766721236327, 10.61965527615513 34.04786296943432, 10.61965527615513 28.25839533868567))",0.809,0.827,0.840,107632,61220,35978,588052
117,"POLYGON ((10.61965527615513 16.26672649011948, 16.53483785734515 15.88626236166589, 16.53483785734516 21.77355606643973, 10.61965527615513 22.27057548800819, 10.61965527615513 16.26672649011948))",0.681,0.681,0.681,23657,23657,23657,54792
18f,"POLYGON ((34.5085229876684 -13.74670252512002, 39.98123465891889 -12.81566331979315, 39.98123465891889 -8.175896074358709, 34.5085229876684 -8.783194988097531, 34.5085229876684 -13.74670252512002))",0.655,0.711,0.751,3067147,2521484,2020074,3483167
16d,"POLYGON ((22.61986494804043 9.8193006387579, 28.67314648943499 9.341889685888818, 28.67314648943499 14.59941342503042, 22.61986494804043 15.32501998539171, 22.61986494804043 9.8193006387579))",0.743,0.776,0.788,742742,545071,463602,1306896
1e7,"POLYGON ((22.61986494804043 -37.74124916352239, 28.67314648943499 -36.34237313080051, 28.67314648943499 -31.09807140426155, 22.61986494804043 -32.39984017391932, 22.61986494804043 -37.74124916352239))",0.776,0.801,0.825,2453021,2024315,1502431,4027663
1eb,"POLYGON ((22.61986494804042 -26.7849955075022, 28.67314648943499 -25.63226655107013, 28.67314648943499 -20.08096213071963, 22.61986494804042 -21.03751102542181, 22.61986494804042 -26.7849955075022))",0.793,0.819,0.840,3307138,2389853,1511687,6480649
0ff,"POLYGON ((-5.059868846264117 0, 0 0, 0 5.059868846264117, -5.059868846264116 5.040252729758283, -5.059868846264117 0))",0.716,0.785,0.809,209196,109524,73712,367629
